"task_id","learner_id","Md_srho","SD_srho","Md_ccc","SD_ccc","Md_rsq","SD_rsq","Md_mae","SD_mae","Md_rmse","SD_rmse"
"compare_arousal","regr.featureless",NA,NA,NA,NA,-0.00305361752913358,0.00743420876799226,1.1546828719636,0.0738266700200102,1.34304864651944,0.0827355740708612
"compare_arousal","regr.ranger",0.13493315612043,0.0690714876628257,0.0449366852341922,0.0212220219301161,0.016568271600422,0.0279743431553293,1.13544794167844,0.0694596241695147,1.3306850586093,0.0773920339671362
"compare_valence","regr.featureless",NA,NA,NA,NA,-0.00269634140740671,0.0153996577158293,0.793476154712914,0.0849373997371313,0.995229109665287,0.119204746078131
"compare_valence","regr.ranger",0.0277618978968178,0.0630955556921671,0.00042296601007944,0.0265495594326129,-0.0252949305189214,0.0341728375452918,0.796468920572925,0.0866638659385752,1.00398845412795,0.118680451363216
"egemaps_arousal","regr.featureless",NA,NA,NA,NA,-0.00571683632130759,0.0180531875167843,1.16002591041352,0.0619467274431393,1.358276640926,0.0593022452389738
"egemaps_arousal","regr.ranger",0.124196809417323,0.0644853142388976,0.0545542279203282,0.0254505230676896,-0.00860354075963149,0.0319962740838655,1.12259275209917,0.0586570051461902,1.34147722041495,0.0555162369548162
"egemaps_arousal_neg","regr.featureless",NA,NA,NA,NA,-0.0065471488638934,0.0128938677225266,1.14432394471855,0.052604420961146,1.34032099226801,0.065713254007416
"egemaps_arousal_neg","regr.ranger",0.165885811086792,0.0856687214371653,0.0569391152624985,0.028148181192456,0.01393349959566,0.0308338516667177,1.13487191317556,0.0515897601930015,1.34980306965633,0.0664430899394107
"egemaps_arousal_neu","regr.featureless",NA,NA,NA,NA,-0.00262322452185604,0.0097108740371274,1.13635477744728,0.071233142838839,1.32831622716355,0.0699196664210912
"egemaps_arousal_neu","regr.ranger",0.0927002370701939,0.129134780877722,0.0372246999711354,0.0428606962558776,-0.0087384675734774,0.0460103176186129,1.12709874364547,0.0758442968232724,1.33972881285393,0.0719330322754179
"egemaps_arousal_pos","regr.featureless",NA,NA,NA,NA,-0.0135464712953094,0.0187181767427232,1.15298870850309,0.0557442457145578,1.34581522214167,0.061433395789026
"egemaps_arousal_pos","regr.ranger",0.0932568285189992,0.102288912407823,0.0306041677647078,0.0336016139521211,-0.0263285510477316,0.0352227708930153,1.127461915846,0.061449588495757,1.33082076187427,0.0715658902486574
"egemaps_valence","regr.featureless",NA,NA,NA,NA,-0.00295224469290822,0.00685513710318122,0.813778520538437,0.0451552129180311,1.05011712784606,0.0673836829759586
"egemaps_valence","regr.ranger",0.0191459324815219,0.0804507710266321,0.00600826958253114,0.0266821236417492,-0.0397898110067132,0.0294018788172999,0.810798498241946,0.0441416489050788,1.06600579205391,0.0661458846624048
"egemaps_valence_neg","regr.featureless",NA,NA,NA,NA,-0.00357772053833849,0.00583387492241458,0.813126618287967,0.0615988396469394,1.03925463727737,0.0834429619967715
"egemaps_valence_neg","regr.ranger",0.0734667409116267,0.0814476049251859,0.0154516073048416,0.0198934616441758,-0.0247979119557359,0.0259421878354219,0.816780876836004,0.0602217168171088,1.04000371388536,0.0786514233182767
"egemaps_valence_neu","regr.featureless",NA,NA,NA,NA,-0.0107848177231222,0.00567514089770605,0.828607149305646,0.0858740880179611,1.04427053658792,0.118494751369441
"egemaps_valence_neu","regr.ranger",0.0577403344383439,0.085365907269181,0.0261017237197883,0.0315181112562839,-0.0215908874606192,0.0556255526963746,0.835604272597429,0.0771524528140043,1.0585162898361,0.106231971360183
"egemaps_valence_pos","regr.featureless",NA,NA,NA,NA,-0.00751663597407237,0.020856837809679,0.824670999499227,0.0557331790091779,1.0551050487535,0.0954991672433341
"egemaps_valence_pos","regr.ranger",0.0681849242897628,0.0651601621400242,0.0265270191701128,0.0299800312547846,-0.0139176478407743,0.0393633405649068,0.835388926871918,0.0549983644209761,1.07162120080064,0.0851464435435859
