"task_id","learner_id","Md_acc","SD_acc","Md_bacc","SD_bacc","Md_auc","SD_auc"
"compare_sex","classif.featureless",0.394937865497076,0.0732010711467811,0.5,0,0.5,0
"compare_sex","classif.ranger",0.919209406586718,0.0324375364144441,0.920420152539737,0.0311821530209439,0.971237568429894,0.0182637101556951
"egemaps_sex","classif.featureless",0.49408758763701,0.0397040962113599,0.5,0,0.5,0
"egemaps_sex","classif.ranger",0.91351101934838,0.032063759421205,0.917699198539977,0.0311143089438965,0.973716489347131,0.0227397719743515
